# 実Excel 16.0 の ★キーの 割り当て（Alt の 順番・ショートカット）★ 2026-08-30
# 取り方: UI Automation の AccessKey / AcceleratorKey（新規ブック・保存なし・読むだけ）
# 列: タブ / 部品 / AccessKey(Altの順) / AcceleratorKey(Ctrl等) / 説明の1行目
挿入	スライサー...	Alt, N, S F		
挿入	タイムライン	Alt, N, S T		
挿入	リンク	Alt, N, I 2		
挿入	その他のオプション	Alt, N, I 2		
挿入	コメント	Alt, N, C M		
挿入	テキスト	Alt, N, Z T		
挿入	数式	Alt, N, E		
挿入	その他のオプション	Alt, N, E		
挿入	記号と特殊文字...	Alt, N, U		
挿入	リボンの表示オプション	Alt, Z R		
描画	ファイル タブ	Alt, F		
描画	ホーム	Alt, H		
描画	挿入	Alt, N		
描画	描画	Alt, J I		
描画	ページ レイアウト	Alt, P		
描画	数式	Alt, M		
描画	データ	Alt, A		
描画	校閲	Alt, R		
描画	表示	Alt, W		
描画	自動化	Alt, U		
描画	開発	Alt, L		
描画	ヘルプ	Alt, Y		
描画	コメント	Alt, Z C		
描画	共有	Alt, Z S		
描画	元に戻せません	Alt, J I, A Z	Ctrl+Z	
描画	繰り返しできません	Alt, J I, R	Ctrl+Y	
描画	選択: インク、図形、テキスト領域などのオブジェクトを選びます。これは特に、テキストの背後にあるオブジェクトを操作するときに使うと便利です。	Alt, J I, G		
描画	なげなわ選択: インクを選択して図形を描画します。図形内のすべてのインクストロークが選択されます。	Alt, J I, G		
描画	消しゴム: ページに描画したインクを消しゴムで消します。	Alt, J I, G		
描画	ペン: 黒、0.35 mm	Alt, J I, G		
描画	ペン: 赤、0.35 mm	Alt, J I, G		
描画	鉛筆書き: 灰色、0.5 mm	Alt, J I, G		
描画	蛍光ペン: 黄, 6mm、テキストに位置を合わせる: オフ	Alt, J I, G		
描画	万年筆: 濃い青、1 mm	Alt, J I, G		
描画	ブラシ ペン: 緑、1 mm	Alt, J I, G		
描画	アクション ペン: アクション ペンを使用して、手書きでデータを入力します。	Alt, J I, G		
描画	追加	Alt, J I, A 1		
描画	インクを図形に変換	Alt, J I, H		
描画	インクを数式に変換	Alt, J I, M ​		
描画	イ‍ン‍ク‍の再生	Alt, J I, K		
描画	インクのヘルプ	Alt, J I, I		
描画	リボンの表示オプション	Alt, Z R		
ページ レイアウト	ファイル タブ	Alt, F		
ページ レイアウト	ホーム	Alt, H		
ページ レイアウト	挿入	Alt, N		
ページ レイアウト	描画	Alt, J I		
ページ レイアウト	ページ レイアウト	Alt, P		
ページ レイアウト	数式	Alt, M		
ページ レイアウト	データ	Alt, A		
ページ レイアウト	校閲	Alt, R		
ページ レイアウト	表示	Alt, W		
ページ レイアウト	自動化	Alt, U		
ページ レイアウト	開発	Alt, L		
ページ レイアウト	ヘルプ	Alt, Y		
ページ レイアウト	コメント	Alt, Z C		
ページ レイアウト	共有	Alt, Z S		
ページ レイアウト	テーマ	Alt, P, T H		
ページ レイアウト	配色	Alt, P, T C		
ページ レイアウト	フォント	Alt, P, T F		
ページ レイアウト	効果	Alt, P, T E		
ページ レイアウト	余白	Alt, P, M		
ページ レイアウト	印刷の向き	Alt, P, O		
ページ レイアウト	サイズ	Alt, P, S Z		
ページ レイアウト	印刷範囲	Alt, P, R		
ページ レイアウト	改ページ	Alt, P, B		
ページ レイアウト	背景...	Alt, P, G		
ページ レイアウト	印刷タイトル	Alt, P, I		
ページ レイアウト	ページ設定	Alt, P, S P		
ページ レイアウト	横:	Alt, P, W		
ページ レイアウト	横:	Alt, P, W		
ページ レイアウト	縦:	Alt, P, H		
ページ レイアウト	縦:	Alt, P, H		
ページ レイアウト	ページ設定	Alt, P, S P		
ページ レイアウト	表示	Alt, P, Y, V G		
ページ レイアウト	印刷	Alt, P, Y, P G		
ページ レイアウト	表示	Alt, P, Y, V H		
ページ レイアウト	印刷	Alt, P, Y, P H		
ページ レイアウト	シートのオプション	Alt, P, S O		
ページ レイアウト	前面へ移動	Alt, P, A F		
ページ レイアウト	その他のオプション	Alt, P, A F		
ページ レイアウト	背面へ移動	Alt, P, A E		
ページ レイアウト	その他のオプション	Alt, P, A E		
ページ レイアウト	オブジェクトの選択と表示...	Alt, P, A P		
ページ レイアウト	配置	Alt, P, A A		
ページ レイアウト	グループ化	Alt, P, A G		
ページ レイアウト	回転	Alt, P, A Y		
