# 実Excel 16.0 の ★CommandBars（右クリックの メニュー ほか）★ 2026-08-30
# 取り方: Application.CommandBars を 全部 歩く（新規ブック・保存なし・読むだけ）
# 列: バーの名前 / 親の道 / 命令 / Type / Id
Worksheet Menu Bar	/編集(E)	シートの削除(L)	1	847
Worksheet Menu Bar	/編集(E)	シートの​​移動またはコピー(M)...	1	848
Worksheet Menu Bar	/編集(E)	検索​​(F)...	1	1849
Worksheet Menu Bar	/編集(E)	置換​​(E)...	1	313
Worksheet Menu Bar	/編集(E)	ジャンプ​​(G)...	1	757
Worksheet Menu Bar	/編集(E)	リンクの​​設定(K)...	1	759
Worksheet Menu Bar	/編集(E)	オブジェクト(O)	1	961
Worksheet Menu Bar	/編集(E)	オブジェクト(O)	10	30019
Worksheet Menu Bar	/編集(E)/オブジェクト(O)	<動詞(<)>	1	1965
Worksheet Menu Bar	/編集(E)/オブジェクト(O)	<動詞(<)>	1	1965
Worksheet Menu Bar	/編集(E)/オブジェクト(O)	<動詞(<)>	1	1965
Worksheet Menu Bar	/編集(E)/オブジェクト(O)	<動詞(<)>	1	1965
Worksheet Menu Bar	/編集(E)/オブジェクト(O)	<動詞(<)>	1	1965
Worksheet Menu Bar	/編集(E)/オブジェクト(O)	<動詞(<)>	1	1965
Worksheet Menu Bar	/編集(E)/オブジェクト(O)	<動詞(<)>	1	1965
Worksheet Menu Bar	/編集(E)/オブジェクト(O)	<動詞(<)>	1	1965
Worksheet Menu Bar	/編集(E)/オブジェクト(O)	<動詞(<)>	1	1965
Worksheet Menu Bar	/編集(E)/オブジェクト(O)	<動詞(<)>	1	1965
Worksheet Menu Bar	/編集(E)/オブジェクト(O)	<動詞(<)>	1	1965
Worksheet Menu Bar	/編集(E)/オブジェクト(O)	<動詞(<)>	1	1965
Worksheet Menu Bar	/編集(E)/オブジェクト(O)	<動詞(<)>	1	1965
Worksheet Menu Bar	/編集(E)/オブジェクト(O)	<動詞(<)>	1	1965
Worksheet Menu Bar	/編集(E)/オブジェクト(O)	<動詞(<)>	1	1965
Worksheet Menu Bar	/編集(E)/オブジェクト(O)	変換​​(V)...	1	1967
Worksheet Menu Bar	/編集(E)/オブジェクト(O)	Office Math に変換(N)	1	33423
Worksheet Menu Bar		表示(V)	10	30004
Worksheet Menu Bar	/表示(V)	標準​​(N)	1	723
Worksheet Menu Bar	/表示(V)	改ページ プレビュー(P)	1	724
Worksheet Menu Bar	/表示(V)	作業​​ウィンドウ(K)	1	5746
Worksheet Menu Bar	/表示(V)	ツール バー(T)	10	30045
Worksheet Menu Bar	/表示(V)/ツール バー(T)	標準	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	書式設定	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	Visual Basic	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	Web	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	ウォッチ ウィンドウ	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	オンライン コンテンツ	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	クエリと接続	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	グラフ	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	コントロール ツールボックス	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	スマート検索	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	チェック/コメント	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	データ カタログ検索	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	データ選択ウィザード	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	ピボットテーブル	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	ファイルから挿入	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	フォーム	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	ブック クエリ	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	ヘルプ	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	リサーチ ツール	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	リスト	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	ワークシート分析	1	761
